LAT,LON,SPEED,DESTINATION,FLAG,SHIPNAME,SHIP_ID,DATETIME,PORT,ship_type,is_parked,Date_Tm_lag1_sec,Dist_mt,Dist_lag1_mt
57.95988,11.71223,109,STENUNGSUND,NL,CORAL STICHO,251928,2016-12-18T03:31:05Z,gothenborg,Tanker,0,120,6728.352,239.7104
57.9273,11.65883,96,TEES,NL,CORAL STICHO,251928,2016-12-18T23:27:05Z,gothenborg,Tanker,0,120,5925.888,0
57.92548,11.64738,99,TEES,NL,CORAL STICHO,251928,2016-12-18T23:29:06Z,gothenborg,Tanker,0,121,6161.9976,236.1096
59.90923,30.06266,107,AMSTERDAM FOR ORDERS,GB,CPO GERMANY,192887,2016-12-15T09:55:04Z,st_petersburg,Tanker,0,1,55.0408,-6494.8144
59.91166,30.05059,108,AMSTERDAM FOR ORDERS,GB,CPO GERMANY,192887,2016-12-15T09:57:04Z,st_petersburg,Tanker,0,120,6666.624,6611.5832
59.88208,30.18057,1,ST.PETERSBURG,GB,CPO GERMANY,192887,2016-12-14T23:29:03Z,st_petersburg,Tanker,1,119,61.2136,61.2136
59.88205,30.18053,1,ST.PETERSBURG,GB,CPO GERMANY,192887,2016-12-14T23:43:03Z,st_petersburg,Tanker,1,119,61.2136,61.2136
57.60258,11.68293,99,GOTHENBURG,SE,DANA,327198,2016-12-16T18:13:05Z,gothenborg,Tanker,0,120,6111.072,-10.288
57.60101,11.66692,104,GOTHENBURG,SE,DANA,327198,2016-12-16T20:21:05Z,gothenborg,Tanker,0,7680,410861.568,404750.496
57.68282,11.86981,0,GOTHENBURG PEC 084,SE,DANA,327198,2016-12-14T01:43:08Z,gothenborg,Tanker,1,3,0,0
57.67277,11.78385,16,GOTHENBURG PEC 084,SE,DANA,327198,2016-12-14T11:23:05Z,gothenborg,Tanker,0,34797,286393.2288,286393.2288
57.68281,11.86979,0,GOTHENBURG PEC 087,SE,DANA,327198,2016-12-14T02:29:07Z,gothenborg,Tanker,1,2,0,0
57.6751,11.79413,70,GOTHENBURG PEC 087,SE,DANA,327198,2016-12-14T11:27:05Z,gothenborg,Tanker,0,32278,1162266.224,1162266.224
57.60075,11.68324,15,GOTHENBURG TOPOIL,SE,DANA,327198,2016-12-20T05:27:05Z,gothenborg,Tanker,0,120,925.92,61.728
57.60848,11.67991,99,GOTHENBURG TOPOIL,SE,DANA,327198,2016-12-20T09:47:05Z,gothenborg,Tanker,0,15600,794439.36,793513.44
57.74822,11.60671,90,SKAGEN PEC 083,SE,DANA,327198,2016-12-17T17:57:05Z,gothenborg,Tanker,0,120,5555.52,-123.456
57.74824,11.60934,96,SKAGEN PEC 083,SE,DANA,327198,2016-12-18T09:55:05Z,gothenborg,Tanker,0,57480,2838500.352,2832944.832
57.74813,11.61588,94,UDDEVALLA,SE,DANA,327198,2016-12-15T05:23:06Z,gothenborg,Tanker,0,121,5850.7856,48.3536
57.92028,11.60685,98,UDDEVALLA,SE,DANA,327198,2016-12-15T06:53:06Z,gothenborg,Tanker,0,5400,272220.48,266369.6944
55.78456,20.87187,5,KLAIPEDA,BS,DAVINO D,369217,2016-12-19T15:21:06Z,klaipeda,Tanker,0,120,308.64,251.5416
55.78602,20.8733,44,KLAIPEDA,BS,DAVINO D,369217,2016-12-19T15:23:06Z,klaipeda,Tanker,0,120,2716.032,2407.392
57.70616,11.65702,19,CLASS B,SE,DELFIN,3424242,2016-12-16T07:55:05Z,gothenborg,Tanker,0,120,1172.832,1172.832
57.7063,11.65753,10,CLASS B,SE,DELFIN,3424242,2016-12-16T09:35:05Z,gothenborg,Tanker,0,6000,30864,29691.168
54.69007,20.39668,1,CLASS B,RU,DEYMA,347645,2016-12-16T14:55:02Z,kalingrad,Tanker,1,119,61.2136,-0.5144
54.68983,20.37726,67,CLASS B,RU,DEYMA,347645,2016-12-17T09:53:02Z,kalingrad,Tanker,0,68280,2353256.544,2353195.33
59.91304,30.22677,1,SPB,RU,DMITRIY RULEVSKIY,349912,2016-12-20T09:37:04Z,st_petersburg,Tanker,1,1,0.5144,-61.2136
59.91419,30.23459,32,SPB,RU,DMITRIY RULEVSKIY,349912,2016-12-20T09:45:03Z,st_petersburg,Tanker,0,479,7884.7232,7884.2088
59.91343,30.22733,35,ST PETERSBURG,RU,DON,350589,2016-12-13T15:55:04Z,st_petersburg,Tanker,0,1,18.004,-1145.0544
59.91282,30.23612,36,ST PETERSBURG,RU,DON,350589,2016-12-13T15:59:03Z,st_petersburg,Tanker,0,239,4425.8976,4407.8936
54.40545,18.75271,75,PLGDN,MH,ECO GREEN,993606,2016-12-19T04:41:07Z,gdynia,Tanker,0,5,192.9,-4243.8
54.40365,18.74527,77,PLGDN,MH,ECO GREEN,993606,2016-12-19T04:43:01Z,gdansk,Tanker,0,114,4515.4032,4322.5032
54.41129,18.78844,123,UST LUGA RUSSIA,MH,ECO GREEN,993606,2016-12-19T19:49:07Z,gdynia,Tanker,0,5,316.356,-7023.1032
54.41311,18.80012,129,UST LUGA RUSSIA,MH,ECO GREEN,993606,2016-12-19T19:51:02Z,gdansk,Tanker,0,115,7631.124,7314.768
59.8955,30.22287,0,ST.PETERS,RU,ECOMAR,350395,2016-12-13T19:49:03Z,st_petersburg,Tanker,1,119,0,0
59.8955,30.22287,0,ST.PETERS,RU,ECOMAR,350395,2016-12-13T19:49:04Z,st_petersburg,Tanker,1,1,0,0
59.88665,30.18887,59,ST.PETERSBURG,RU,ECOMAR,350395,2016-12-16T23:41:04Z,st_petersburg,Tanker,0,1,30.3496,-3581.2528
